Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 3.724
episode: 1480 	| explore_rate: 0.006 	| return: 14.723
episode: 1490 	| explore_rate: 0.003 	| return: 15.748

Testing on agent with Q-table:
[[4.09146189 4.6590262  4.81449143 8.28285943 4.53921233]
 [3.86253122 5.51273185 6.34322441 6.41232116 8.09828494]
 [0.82923008 1.65194887 1.80703239 6.66229908 2.60278658]
 [0.93836668 1.67920825 1.92614091 2.70072119 7.89762949]
 [0.39332872 0.51348285 0.67479024 1.19456501 5.20907965]
 [0.52459169 0.41863524 0.67743585 5.43821228 1.59269058]
 [0.43635391 0.44790129 0.744668   0.94319152 4.78910238]
 [0.20643444 0.23546201 0.3840342  2.00612289 0.67354763]
 [0.13550895 0.22540895 0.26807102 0.36549173 3.21843492]
 [1.61132174 0.57203248 0.7434028  1.61109496 7.55669302]
 [0.18062072 0.14257027 0.25510131 0.45470856 2.62931127]
 [0.20770242 0.10674907 0.22804103 0.27139668 2.16248097]
 [0.10812904 0.09281395 0.26775356 0.32438048 2.2695316 ]
 [0.21893611 0.20079847 0.1993967  0.3725583  2.60757857]
 [0.22151505 0.12095952 0.19610999 0.25054737 1.9747096 ]
 [0.23618751 0.13766959 0.22840924 0.24837462 1.58804144]
 [0.09462578 0.10762359 0.13186589 0.32345727 1.32647572]
 [0.25545725 0.17302925 0.24223697 0.35680772 2.53210083]
 [0.39044383 0.24243381 0.29094143 0.68507141 2.87912974]
 [0.24816918 0.77152738 0.6425483  0.80069346 6.81363973]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]]

Learned Q-learning policy tested

e_return	t5p_first	tTiny_first	total_drug_in

12.414367380025373	912.2902809515153	2367.9725298914445	1602.0
Done
